ID,City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
2081,Athens,129.8244792,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,2.813963501,0.881890002,55.34857178,2.086871151,78.77837697,5.915159963
2082,Athens,138.9637476,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,1,0.40729292,0.304567868,240.3066539,9.060559418,407.1676962,30.57262852
2083,Athens,156.3049235,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,98,1,1.237211131,0.288488057,199.5073658,7.522256718,395.9674026,29.73164232
2084,Athens,91.62702411,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,1,4.367457161,0.297467301,39.80304745,1.500740286,58.70657846,4.40804718
2085,Athens,74.05150798,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,2.194185,0.385265748,78.73340491,2.968576532,113.3259728,8.5092037
2086,Athens,113.8893446,Weekday,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,96,2,2.071205607,0.453867443,96.58899134,3.641806338,158.6443183,11.91198088
2087,Athens,106.3904577,Weekday,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,96,1,1.395424051,0.438597132,160.6917055,6.058745032,289.1041227,21.70769693
2088,Athens,151.8524594,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.508966062,0.563466801,68.77522075,2.59311161,101.1627689,7.595916333
2089,Athens,162.3977691,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.668798929,0.954365126,62.41337967,2.353243765,91.808599,6.893548331
2090,Athens,98.65723057,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,95,1,2.740576481,0.725024339,62.90304909,2.371706337,92.61136387,6.953824803
2091,Athens,145.0565932,Weekday,Private room,FALSE,TRUE,6,FALSE,0,1,10,98,1,1.911332318,0.490466225,139.5671013,5.262259674,178.0340202,13.3678777
2092,Athens,333.7004663,Weekday,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,99,2,0.257414046,0.226856754,272.7599706,10.28418431,477.6413931,35.86422256
2093,Athens,138.9637476,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,97,1,1.415997816,1.245457714,109.0947064,4.113323761,148.5847113,11.15664437
2094,Athens,101.9379936,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,95,2,1.278671121,0.371223349,210.5136997,7.937241245,241.9214723,18.16493639
2095,Athens,78.73831228,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,95,2,1.749961227,0.824020508,87.26695391,3.29032679,119.2663828,8.955245838
2096,Athens,194.0336981,Weekday,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,98,2,1.213098289,0.988655877,108.0872266,4.075337585,157.8567347,11.85284431
2097,Athens,97.48552949,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,1.920291087,0.220540813,100.5169644,3.789907243,167.6335224,12.58694503
2098,Athens,106.3904577,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,97,1,1.557649587,0.155385706,179.4326347,6.765355939,213.0639932,15.99814125
2099,Athens,127.7154172,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,89,1,3.407915382,0.165248791,51.06311425,1.925291594,75.01141065,5.632313207
2100,Athens,217.7020599,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,0,0.672833076,0.227179124,376.737579,14.20457222,597.5004757,44.86397192
2101,Athens,171.068357,Weekday,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,98,2,1.728084061,0.436665923,150.529356,5.675582227,220.9321486,16.58893024
2102,Athens,158.4139854,Weekday,Entire home/apt,FALSE,FALSE,5,TRUE,0,0,10,97,3,0.926725304,0.336538903,124.622679,4.698792852,216.2190604,16.23504289
2103,Athens,114.8267054,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,1,1.653341913,0.896544994,92.70039603,3.495190136,135.9785455,10.21009671
2104,Athens,185.3631102,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,1.116320158,0.436579861,457.1500255,17.2364556,365.8517129,27.47037306
2105,Athens,168.9592951,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,2.923551935,0.480476552,55.4698119,2.091442407,80.6707739,6.057252641
2106,Athens,187.9408525,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,96,1,2.923572729,0.480464725,55.46908813,2.091415118,80.67081291,6.05725557
