ID,City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
10194,Berlin,185.7997569,Weekday,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,3.582210844,0.174705596,105.0637083,16.01904194,148.9411144,30.710638
10195,Berlin,194.914462,Weekday,Private room,FALSE,TRUE,5,FALSE,0,1,9,86,1,3.5254103,0.51192178,75.33952911,11.48700247,106.4423556,21.94768493
10196,Berlin,176.2176311,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,3.801712818,0.28139653,73.66917598,11.23232407,105.4402046,21.74104825
10197,Berlin,207.7685332,Weekday,Private room,FALSE,TRUE,3,TRUE,0,0,10,97,1,0.982408172,0.705573084,133.1874089,20.30705677,198.233362,40.87436196
10198,Berlin,150.743199,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,8.869697201,2.187188257,39.86015115,6.077469029,50.99630815,10.51508957
10199,Berlin,139.2913901,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,87,1,3.544664562,0.366552498,103.4810823,15.77773929,148.4580494,30.61103331
10200,Berlin,417.4067496,Weekday,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,2,3.838823654,0.298430121,210.9533841,32.16401898,198.1328913,40.85364559
10201,Berlin,135.5520239,Weekday,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,3.731452541,0.936674874,95.33370885,14.53551094,126.4763363,26.07855456
10202,Berlin,260.8207909,Weekday,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,9.113951206,0.383345676,62.73518713,9.565221048,101.6440961,20.95831666
10203,Berlin,191.1750958,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,98,1,13.62054945,5.514004441,26.96359864,4.111134326,35.68835644,7.358694742
10204,Berlin,235.5800692,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,94,1,2.576319513,0.4603703,202.9009624,30.9362679,154.140948,31.78280809
10205,Berlin,95.12012714,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.55628967,0.187019332,77.18810592,11.7688546,114.0457575,23.51545433
10206,Berlin,229.7373095,Weekday,Private room,FALSE,TRUE,3,FALSE,0,0,10,98,1,9.974867073,0.500290775,52.859092,8.05941486,75.50431908,15.56847362
10207,Berlin,208.7033748,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,5.787913939,0.35022245,54.89020941,8.369098914,69.1161896,14.25128506
10208,Berlin,266.6635505,Weekday,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,87,2,1.197765934,0.594759914,130.5796609,19.90945398,215.5454349,44.44399285
10209,Berlin,375.5725904,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,6.998010723,0.197946896,93.64773798,14.2784513,193.0121129,39.79777613
10210,Berlin,285.3603814,Weekday,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,8,88,2,1.188087947,0.519463673,133.2796404,20.3211193,227.0205726,46.81008768
10211,Berlin,577.498364,Weekday,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,80,2,10.60908923,1.005158341,49.39810052,7.531718202,71.97827428,14.84142732
10212,Berlin,148.4060952,Weekday,Shared room,TRUE,FALSE,6,FALSE,0,1,9,92,1,0.932752307,0.352412314,149.6516644,22.81735842,194.4145638,40.08695192
10213,Berlin,127.6058708,Weekday,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,2.485257836,0.993397151,88.23445859,13.45308971,120.8331288,24.91496383
10214,Berlin,237.6834627,Weekday,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,4.028535233,0.452412922,152.8796429,23.30952764,178.2443345,36.75276135
10215,Berlin,116.1540619,Weekday,Private room,FALSE,TRUE,3,FALSE,0,1,10,90,1,3.431747465,0.09054636,78.94346524,12.03649387,119.2530514,24.58916269
10216,Berlin,95.12012714,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.514204118,0.138194007,78.70806173,12.00060195,116.8618882,24.09612121
