ID,City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
12678,Budapest,238.9904592,Weekday,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,99,1,0.359355002,0.35264296,404.4046774,24.11655185,893.4773435,67.65685332
12679,Budapest,300.7942849,Weekday,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,98,2,0.929427205,0.20023546,1676.87603,100,452.5397172,34.26769967
12680,Budapest,162.3819147,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,2.450840346,0.279451792,163.5884929,9.755550793,191.99227,14.53824537
12681,Budapest,118.4377497,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,92,1,1.559449392,0.477971102,191.719844,11.43315549,326.2155876,24.70204792
12682,Budapest,134.4174461,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,2,1.11380298,0.27010165,198.6034604,11.84365789,635.5158836,48.12321794
12683,Budapest,127.36758,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,91,2,0.26847031,0.166931703,635.6350064,37.90590329,1005.653479,76.15117541
12684,Budapest,191.05137,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,6,80,2,10.29600059,7.922375402,31.2195914,1.861770986,46.53893219,3.524071127
12685,Budapest,123.1376604,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,92,1,0.752613605,0.480336523,227.0102355,13.53768742,674.8518114,51.10185541
12686,Budapest,133.2424684,Weekday,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,88,2,1.091461882,0.199120972,195.4724493,11.65694099,632.7273939,47.91206491
12687,Budapest,128.0725666,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,96,1,0.511704648,0.11734405,357.7453346,21.33403592,664.6005232,50.32559633
12688,Budapest,142.4072943,Weekday,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,100,0,2.093792137,0.657428185,202.1241375,12.05361242,240.0865408,18.18009152
12689,Budapest,124.7826291,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,97,1,0.415490335,0.233798519,280.0525726,16.70085131,789.0525241,59.74948473
