ID,City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
38178,Vienna,250.5668139,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,99,1,1.732893381,0.212627063,118.6468312,8.496978849,185.0967195,4.424871136
38179,Vienna,156.6042587,Weekday,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,97,1,4.80791176,0.228253103,80.14501549,5.739643396,85.72760016,2.04938037
38180,Vienna,283.0563542,Weekday,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,95,2,2.811772672,0.244162867,101.248112,7.250956955,151.3642876,3.61847292
38181,Vienna,301.7553701,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,94,2,3.240594904,0.610429909,92.47393763,6.622588095,129.863831,3.104488933
38182,Vienna,150.7608162,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,96,1,2.241145601,1.119506679,124.2567672,8.898738477,154.3489715,3.68982395
38183,Vienna,162.4477012,Weekday,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,4.611961298,0.199926338,52.0779407,3.729599484,75.5155423,1.805253731
38184,Vienna,196.3396676,Weekday,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,9,91,1,2.371546721,0.45241178,125.4136245,8.981587655,206.6448305,4.939994335
38185,Vienna,107.7530795,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,8,92,1,3.629103159,0.47315903,62.4595793,4.47308806,93.81093259,2.242618286
38186,Vienna,196.3396676,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,86,1,2.301345442,0.504317716,129.3601899,9.264223794,217.6117464,5.202166401
38187,Vienna,212.2338312,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,2.011136644,0.679079891,145.3493809,10.4093013,237.9890637,5.689300931
38188,Vienna,235.6076011,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,1.890061431,0.684780589,155.4114354,11.12990263,265.4238561,6.345149513
38189,Vienna,251.5017647,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,90,1,1.383372867,0.134837775,128.3501613,9.191889869,210.4594695,5.031186043
38190,Vienna,251.5017647,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,1,1.590292965,0.316954029,116.1245335,8.31634267,184.8113321,4.418048744
38191,Vienna,129.958161,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,1,2.866544015,0.630935214,106.4636084,7.624468513,155.8039295,3.724605774
38192,Vienna,270.2007807,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,87,1,1.270137239,0.044723901,140.573385,10.06726489,231.508786,5.534385198
38193,Vienna,456.9572026,Weekday,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,88,2,3.645033449,1.112518953,75.19756774,5.385328339,107.6238256,2.572825497
38194,Vienna,300.3529439,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,1.345950257,0.354783099,145.2525953,10.40236993,218.5869505,5.225479363
38195,Vienna,155.4355702,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,10,88,1,1.651936551,0.242090786,166.6775772,11.93673555,261.8376322,6.259418232
38196,Vienna,170.6285207,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,99,1,5.102904559,0.50235127,94.00358323,6.732134774,83.69072807,2.000687467
38197,Vienna,463.9693336,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,1.232717448,0.471373906,160.8057229,11.51621845,249.8470477,5.972774625
38198,Vienna,182.3154057,Weekday,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,1.536105193,0.236701651,193.3301248,13.84547707,303.9539993,7.266240491
38199,Vienna,186.5226842,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,98,0,2.201717601,0.492493921,138.5066715,9.919255711,237.0957075,5.667944604
38200,Vienna,237.4775027,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,9,89,0,1.19402951,0.58360651,150.0620677,10.74680378,242.1258745,5.788194389
38201,Vienna,157.5392095,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,94,1,3.517996761,0.535754797,94.19989763,6.746193972,121.2805065,2.899298346
38202,Vienna,165.720029,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,79,1,2.659682867,0.445975226,85.22419471,6.103392499,131.8652346,3.152333935
38203,Vienna,204.2867494,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,96,1,1.974028834,0.584992785,134.3614254,9.622390903,204.9178206,4.898708914
38204,Vienna,160.1103242,Weekday,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,92,2,4.34633349,0.130430217,108.1706187,7.746717289,103.9867664,2.485878962
38205,Vienna,693.4997546,Weekday,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,1,3.194121059,0.5808537,97.99841239,7.018227361,136.3582626,3.259743024
38206,Vienna,288.6660589,Weekday,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,93,1,2.93211391,0.055677989,79.9643346,5.726703804,127.1964703,3.040723744
38207,Vienna,173.9008485,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,9,97,1,0.649835352,0.357525726,197.6284266,14.15330307,368.9544738,8.820123911
38208,Vienna,236.7762896,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,1,1.386914027,0.47770287,129.375397,9.265312868,208.6646556,4.988279716
38209,Vienna,227.4267817,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,0,1.301075721,0.389957464,135.3927948,9.696253174,219.4497884,5.246106127
38210,Vienna,227.4267817,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,0,1.26643952,0.336921153,138.6233632,9.927612669,223.4517272,5.341775372
38211,Vienna,256.8777318,Weekday,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.219214382,0.433601387,138.2878799,9.903586786,231.7613888,5.540423851
